Time,Temperature
2022-09-01 00:04:00,19.2
2022-09-01 00:09:00,18.7
2022-09-01 00:14:00,18.5
2022-09-01 00:19:00,18.6
2022-09-01 00:24:00,18.9
2022-09-01 00:29:00,19.1
2022-09-01 00:34:00,19.3
2022-09-01 00:39:00,19.3
2022-09-01 00:44:00,18.8
2022-09-01 00:49:00,18.6
2022-09-01 00:54:00,18.8
2022-09-01 01:00:00,18.9
2022-09-01 01:13:00,19.2
2022-09-01 01:19:00,18.6
2022-09-01 01:24:00,18.6
2022-09-01 01:29:00,18.7
2022-09-01 01:34:00,18.9
2022-09-01 01:39:00,19.1
2022-09-01 01:44:00,19.4
2022-09-01 01:49:00,19.1
2022-09-01 01:54:00,18.7
2022-09-01 01:59:00,18.6
2022-09-01 02:04:00,18.7
2022-09-01 02:09:00,18.9
2022-09-01 02:22:00,19.200000000000003
2022-09-01 02:24:00,19.3
2022-09-01 02:29:00,18.8
2022-09-01 02:34:00,18.6
2022-09-01 02:39:00,18.6
2022-09-01 02:44:00,18.8
2022-09-01 02:49:00,19.0
2022-09-01 02:53:00,19.2
2022-09-01 02:59:00,19.4
2022-09-01 03:04:00,19.1
2022-09-01 03:09:00,18.6
2022-09-01 03:14:00,18.5
2022-09-01 03:19:00,18.6
2022-09-01 03:24:00,18.8
2022-09-01 03:29:00,19.1
2022-09-01 03:34:00,19.3
2022-09-01 03:38:00,19.4
2022-09-01 03:44:00,19.0
2022-09-01 03:49:00,18.6
2022-09-01 03:54:00,18.5
2022-09-01 03:59:00,18.6
2022-09-01 04:04:00,18.8
2022-09-01 04:09:00,19.0
2022-09-01 04:14:00,19.2
2022-09-01 04:19:00,19.4
2022-09-01 04:23:00,19.1
2022-09-01 04:29:00,18.6
2022-09-01 04:43:00,18.5
2022-09-01 04:49:00,18.9
2022-09-01 04:54:00,19.1
2022-09-01 04:59:00,19.3
2022-09-01 05:04:00,19.4
2022-09-01 05:09:00,18.8
2022-09-01 05:13:00,18.5
2022-09-01 05:19:00,18.5
2022-09-01 05:23:00,18.6
2022-09-01 05:28:00,18.9
2022-09-01 05:34:00,19.1
2022-09-01 05:39:00,19.3
2022-09-01 05:43:00,19.4
2022-09-01 05:49:00,19.1
2022-09-01 05:54:00,18.6
2022-09-01 05:59:00,18.4
2022-09-01 06:04:00,18.6
2022-09-01 06:08:00,18.8
2022-09-01 06:14:00,18.9
2022-09-01 06:19:00,19.1
2022-09-01 06:23:00,19.3
2022-09-01 06:29:00,19.3
2022-09-01 06:34:00,18.8
2022-09-01 06:39:00,18.4
2022-09-01 06:44:00,18.4
2022-09-01 06:49:00,18.6
2022-09-01 06:53:00,18.8
2022-09-01 06:59:00,19.0
2022-09-01 07:04:00,19.1
2022-09-01 07:08:00,19.3
2022-09-01 07:14:00,19.3
2022-09-01 07:19:00,18.9
2022-09-01 07:24:00,18.5
2022-09-01 07:29:00,18.5
2022-09-01 07:34:00,18.6
2022-09-01 07:38:00,18.8
2022-09-01 07:44:00,19.0
2022-09-01 07:49:00,19.1
2022-09-01 07:54:00,19.3
2022-09-01 07:59:00,19.4
2022-09-01 08:14:00,18.599999999999998
2022-09-01 08:20:00,18.6
2022-09-01 08:24:00,18.7
2022-09-01 08:29:00,18.9
2022-09-01 08:34:00,19.1
2022-09-01 08:39:00,19.2
2022-09-01 08:44:00,19.4
2022-09-01 08:50:00,19.1
2022-09-01 08:54:00,18.6
2022-09-01 08:59:00,18.4
2022-09-01 09:05:00,18.5
2022-09-01 09:09:00,18.7
2022-09-01 09:15:00,18.9
2022-09-01 09:19:00,19.1
2022-09-01 09:24:00,19.3
2022-09-01 09:30:00,19.4
2022-09-01 09:35:00,19.1
2022-09-01 09:39:00,18.7
2022-09-01 09:45:00,18.6
2022-09-01 09:49:00,18.8
2022-09-01 09:54:00,18.9
2022-09-01 10:00:00,19.1
2022-09-01 10:04:00,19.3
2022-09-01 10:09:00,19.4
2022-09-01 10:15:00,19.0
2022-09-01 10:19:00,18.7
2022-09-01 10:24:00,18.6
2022-09-01 10:30:00,18.8
2022-09-01 10:34:00,19.0
2022-09-01 10:39:00,19.3
2022-09-01 10:45:00,19.4
2022-09-01 10:49:00,19.3
2022-09-01 10:55:00,18.8
2022-09-01 10:59:00,18.6
2022-09-01 11:04:00,18.7
2022-09-01 11:10:00,18.9
2022-09-01 11:14:00,19.2
2022-09-01 11:19:00,19.4
2022-09-01 11:25:00,19.4
2022-09-01 11:39:00,18.8
2022-09-01 11:44:00,19.0
2022-09-01 11:49:00,19.3
2022-09-01 11:54:00,19.5
2022-09-01 11:59:00,19.3
2022-09-01 12:04:00,18.9
2022-09-01 12:10:00,18.8
2022-09-01 12:14:00,18.9
2022-09-01 12:19:00,19.3
2022-09-01 12:25:00,19.5
2022-09-01 12:29:00,19.4
2022-09-01 12:34:00,18.9
2022-09-01 12:39:00,18.8
